"Sex","Age","Married","Education","Informal","Wages","Full_time","Union_member","Social_Group","Urban"
2,30,3,4,1,500,1,2,1,0
1,55,2,8,0,5750,1,2,1,0
1,47,2,14,0,3750,1,1,1,0
2,46,2,0,1,117,1,2,1,0
1,29,1,14,0,3500,1,2,1,0
2,24,2,14,1,1500,1,2,1,0
1,45,2,4,1,117,1,2,1,0
1,20,1,2,1,900,1,2,1,0
1,56,2,14,0,5000,1,1,1,0
1,26,2,8,1,117,1,2,1,0
1,59,2,0,1,117,1,2,1,0
1,57,2,4,1,117,1,2,1,0
1,56,2,2,1,100,1,2,1,0
1,58,2,2,1,100,1,2,1,0
1,51,2,12,1,780,1,2,1,0
2,47,2,4,1,100,1,2,1,0
1,42,2,12,1,100,1,2,1,0
1,44,2,14,1,100,2,2,1,0
1,46,2,12,1,100,1,2,9,0
1,34,2,2,1,100,1,2,1,0
1,43,2,12,1,100,1,2,1,0
1,49,2,15,1,9626,1,2,1,0
1,48,2,17,0,7500,1,2,1,0
2,43,2,14,0,6000,1,1,1,0
1,48,2,4,1,600,1,2,1,0
2,27,2,2,1,120,1,2,1,0
2,38,2,2,1,120,1,2,1,0
1,54,2,8,1,1000,1,2,1,0
2,50,2,0,1,117,1,2,1,0
1,53,2,2,1,360,1,2,1,0
1,40,2,4,1,600,1,2,1,0
1,50,2,12,0,6000,1,1,1,0
2,46,2,12,0,4750,1,1,1,0
1,26,2,8,0,1200,1,2,1,0
1,48,2,12,0,4000,1,1,1,0
1,49,2,17,0,5250,1,1,1,0
2,38,2,14,0,4000,1,1,1,0
2,51,3,8,0,3450,1,1,1,0
1,29,2,14,1,200,1,2,1,0
1,36,2,8,1,200,1,2,1,0
1,45,2,4,1,870,1,2,9,0
2,37,2,4,1,790,1,2,9,0
1,54,2,17,1,3750,1,1,9,0
1,26,2,14,1,875,1,2,9,0
1,42,2,4,1,300,1,2,9,0
2,38,2,0,1,300,1,2,9,0
2,28,2,14,0,1625,1,1,1,0
2,35,2,8,0,2625,1,1,1,0
1,28,1,14,0,4250,1,1,1,0
1,26,1,14,0,3836,1,1,1,0
1,45,2,12,1,100,1,1,1,0
1,28,1,4,1,900,1,1,1,0
1,37,2,8,1,100,1,2,1,0
2,29,2,4,1,100,1,2,1,0
1,35,2,8,1,100,1,2,1,0
1,35,2,8,1,500,1,2,1,0
1,40,2,8,1,100,1,2,1,0
1,25,1,12,1,1075,1,2,1,0
1,39,2,12,0,3700,1,1,1,0
1,27,1,17,1,1985,1,2,1,0
1,26,1,14,1,1400,1,2,1,0
1,45,2,8,1,140,1,2,1,0
1,56,2,12,0,5220,1,1,1,0
1,29,2,17,1,1400,1,1,1,0
1,33,2,14,1,1400,1,1,1,0
2,40,2,2,1,200,1,2,1,0
1,20,1,8,1,450,1,2,1,0
1,43,2,12,1,1400,1,2,1,0
2,41,2,14,1,700,1,2,1,0
1,50,2,2,1,600,1,2,1,0
2,36,2,2,1,400,1,2,1,0
1,44,2,14,0,5500,1,2,1,0
1,46,2,12,0,1000,1,2,1,0
2,22,2,4,1,100,1,2,1,0
2,30,2,8,1,100,1,2,1,0
1,32,2,14,0,3750,1,1,1,0
1,53,2,17,0,4700,1,1,1,0
2,51,2,12,0,3900,1,1,1,0
1,26,1,8,1,100,2,2,1,0
1,40,2,12,1,1800,1,1,1,0
2,39,2,8,1,375,1,2,1,0
1,32,2,17,0,4000,1,1,1,0
2,28,2,12,0,3600,1,1,1,0
1,58,2,4,1,100,1,2,1,0
1,30,2,12,1,170,1,2,1,0
1,29,2,12,1,1000,1,2,1,0
2,28,1,8,1,900,1,2,1,0
1,26,1,17,0,4000,1,1,1,0
1,22,1,12,1,900,1,2,1,0
2,20,1,12,1,900,1,2,1,0
2,20,1,4,1,900,1,2,1,0
1,37,2,4,1,800,1,1,2,1
1,43,2,12,0,5017,1,1,1,0
2,42,2,12,0,4741,1,1,1,0
1,38,2,4,1,1767,1,2,1,0
1,34,2,14,1,1400,1,1,1,0
2,29,2,8,1,700,1,2,1,0
1,39,3,12,1,1400,1,1,1,0
2,55,3,2,1,240,1,2,1,0
1,30,1,2,1,600,1,2,1,0
1,26,2,2,1,1750,1,2,1,0
2,38,3,8,1,233,1,2,1,0
1,16,1,4,1,900,2,2,1,0
1,45,2,14,0,1750,1,2,1,0
2,40,2,14,0,1500,1,2,1,0
1,36,2,2,1,1080,1,2,1,0
1,58,2,2,1,1260,1,2,1,0
2,50,2,2,1,900,1,2,1,0
1,18,1,4,1,1260,1,2,1,0
1,25,2,2,1,1260,1,2,1,0
1,30,1,2,1,200,1,2,1,0
1,48,2,17,1,1375,1,2,1,0
2,48,3,12,1,200,1,2,1,0
2,51,3,12,1,1125,1,2,1,0
1,30,2,17,1,1375,1,2,1,0
1,25,2,4,1,200,1,2,1,0
1,45,2,4,1,200,1,2,1,0
2,25,1,14,1,1500,1,2,1,0
1,28,2,17,0,3800,1,2,1,0
1,26,2,14,0,3750,1,2,1,0
2,23,2,14,1,1500,1,2,1,0
1,45,2,17,0,8250,1,2,1,0
1,40,2,15,1,1420,1,2,1,0
1,45,2,12,1,1450,1,2,1,0
1,26,2,4,1,1540,1,2,1,0
2,24,2,8,1,980,1,2,1,0
1,24,1,14,1,200,1,2,1,0
2,28,2,14,1,327,1,2,1,0
2,27,4,4,0,900,1,2,1,0
1,28,2,8,1,850,1,1,1,0
1,31,2,8,1,250,1,2,1,0
2,29,2,8,1,250,1,2,1,0
1,44,2,4,1,1500,1,1,1,0
1,48,2,12,0,4500,2,2,1,0
1,50,2,0,1,200,1,2,1,0
2,45,2,0,1,420,1,2,1,0
1,26,2,12,1,600,1,2,1,0
2,20,2,12,1,600,1,2,1,0
1,36,2,2,1,1450,1,2,1,0
2,30,2,2,1,1100,1,2,1,0
1,42,2,2,1,1400,1,2,1,0
2,33,2,2,1,1100,1,2,1,0
1,45,2,2,1,1300,1,2,1,0
2,37,2,2,1,1200,1,2,1,0
1,27,1,17,1,1500,1,1,1,0
1,52,2,2,1,1200,1,2,1,0
2,46,2,2,1,1200,1,2,1,0
1,25,1,8,1,1200,1,2,1,0
1,21,1,8,1,1200,1,2,1,0
1,47,2,2,1,1300,1,2,2,1
2,41,2,4,1,1250,1,2,2,1
1,25,1,4,1,1300,1,2,2,1
1,37,2,2,1,1400,1,2,1,0
2,31,2,2,1,1100,1,2,1,0
2,46,2,12,0,4875,1,1,1,0
1,30,2,14,0,3500,1,1,1,0
1,30,1,12,0,3625,1,1,1,0
2,27,1,12,1,3400,1,1,1,0
1,21,1,12,0,3180,1,1,1,0
1,33,1,8,0,6250,1,1,1,0
1,35,2,17,0,6140,1,1,1,0
2,33,2,17,0,3550,1,1,1,0
1,32,2,14,0,4875,1,1,1,0
2,30,2,14,0,3625,1,1,1,0
1,37,2,17,0,4875,1,1,1,0
2,33,2,17,0,3700,1,2,1,0
1,57,2,12,0,4875,1,1,1,0
2,55,2,12,0,4875,1,1,1,0
2,27,4,17,0,3700,1,1,1,0
2,30,1,17,0,3625,1,1,1,0
1,33,2,12,0,3625,1,1,1,0
1,32,2,0,1,1200,1,1,1,0
1,47,2,0,1,1200,1,2,1,0
1,21,2,4,1,720,1,2,1,0
1,23,2,4,1,1200,1,2,1,0
1,53,2,14,0,6500,1,1,3,0
2,52,2,14,0,2050,1,1,3,0
2,28,1,17,0,1500,1,1,3,0
2,26,1,17,0,1000,1,1,3,0
2,24,2,8,1,350,1,2,1,0
1,30,2,8,1,700,1,2,1,0
1,25,2,12,1,1050,1,2,1,0
2,47,4,14,0,2442,1,1,1,0
1,39,2,14,0,1928,1,2,1,0
2,56,3,17,1,3214,1,1,1,0
1,58,2,14,0,2357,1,1,1,0
1,51,2,12,0,857,1,1,1,0
1,58,2,12,0,4500,1,2,1,0
2,46,3,12,0,2000,1,1,1,0
1,26,2,8,1,117,1,2,1,0
2,26,2,4,1,240,1,2,1,0
1,28,2,8,1,117,1,2,1,0
1,50,2,8,1,117,1,2,1,0
1,35,2,8,1,117,1,2,1,0
2,33,2,8,1,240,1,2,1,0
1,49,2,8,1,117,1,2,1,0
2,34,2,8,1,240,1,2,1,0
1,35,2,8,1,117,1,2,1,0
2,35,2,4,1,150,1,2,1,0
2,38,2,4,1,300,1,2,1,0
1,62,2,8,1,450,1,2,1,0
2,39,2,4,1,240,1,2,1,0
1,29,2,8,1,960,1,2,1,0
1,34,2,14,0,4100,1,1,1,0
1,38,2,14,0,6500,1,1,1,0
1,28,2,12,0,2100,1,1,1,0
1,43,2,12,0,4200,1,1,1,0
1,63,2,4,1,450,1,2,1,0
1,28,2,8,1,450,1,2,1,0
2,37,2,20,0,3750,1,2,1,0
1,38,2,20,0,3000,1,2,1,0
1,38,2,14,0,4500,1,2,1,0
1,49,2,12,0,4500,1,2,1,0
1,28,2,14,0,4000,1,2,1,0
1,43,2,2,1,450,1,2,1,0
2,38,2,4,1,300,1,2,1,0
1,43,2,17,0,4500,1,1,1,0
1,43,2,14,0,4662,1,1,1,0
1,35,2,8,1,1000,1,2,1,0
1,34,2,12,0,3713,1,1,1,0
2,43,2,14,0,4250,1,1,1,0
1,57,2,14,0,4500,1,1,1,0
1,37,2,8,1,550,1,2,1,0
2,29,2,8,1,530,1,2,1,0
1,38,2,14,0,5000,1,1,9,0
1,27,2,8,1,300,1,2,9,0
2,25,2,8,1,200,1,2,9,0
1,30,2,4,1,975,1,2,9,0
2,50,3,2,1,300,1,2,9,0
1,23,2,12,1,300,2,2,9,0
2,18,2,8,1,200,2,2,9,0
1,50,2,8,1,300,1,1,9,0
1,34,2,17,0,5500,1,2,1,0
1,45,2,14,0,5000,1,1,1,0
1,40,2,14,1,2000,1,2,1,0
1,25,2,14,1,160,1,2,1,0
2,21,2,12,1,300,1,2,1,0
1,35,2,17,0,5000,1,1,1,0
1,23,2,14,1,450,1,2,1,0
2,25,2,12,1,450,1,2,1,0
2,35,2,8,1,450,1,2,1,0
1,44,2,8,1,450,1,2,1,0
1,25,1,12,1,450,1,2,1,0
1,32,2,17,0,4500,1,2,1,0
1,30,2,12,1,1550,1,2,1,0
2,28,2,12,1,200,1,2,1,0
1,47,1,17,1,1500,1,2,1,0
2,30,2,14,1,100,1,2,1,0
1,48,2,14,0,4913,1,1,1,0
1,38,2,12,0,3670,1,1,1,0
2,31,2,8,1,350,1,2,1,0
1,45,2,14,0,4500,1,1,1,0
1,26,2,14,0,1500,1,1,1,0
1,57,2,4,1,900,1,2,1,0
2,54,2,4,1,350,1,2,1,0
2,36,2,8,1,300,1,2,1,0
1,40,2,14,0,4500,1,2,1,0
1,44,2,8,1,300,1,2,1,0
2,39,2,0,1,300,1,2,1,0
1,30,2,4,1,1000,1,2,1,0
1,40,2,2,1,1500,1,2,1,0
1,44,2,4,1,600,1,2,1,0
2,38,2,4,1,400,1,2,1,0
1,40,2,14,0,4250,1,2,1,0
1,50,2,2,1,1440,1,2,1,0
1,27,2,8,1,1440,1,2,1,0
1,43,2,4,1,1370,1,2,1,0
